training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
5.302586,-0.27274388,-2.0231872,1.0307753,0.0,-30.204388,-66.2437,6.3538966,-9.905004,465.03427,0.058112927,-29.794086,-66.15537,0.085585624,0.97119164,-0.73692966,-2.1103737,0.9804126,0.0,-30.208551,-74.879196,0.07905792,-29.871103,-74.60597,0.051900182,0.010473337507247925,1103.6815662384033,65000
1.2808555,-0.8643578,-2.0306334,1.1638706,0.0,-29.461967,-74.033585,5.149089,-4.781224,295.45255,0.049670182,-29.107765,-73.711525,0.05234751,1.1503618,-0.7864686,-2.1048121,1.3990507,0.0,-28.49228,-77.87905,0.038656406,-28.136486,-77.659134,0.061010674,0.010470094203948975,1156.0320498943329,70000
7.6856594,-0.23141453,-2.0490956,1.1040869,0.0,-31.23479,-73.649506,5.469478,-8.3130865,335.87344,0.0014392212,-30.94869,-72.97012,0.06641959,7.0591164,-0.43705708,-2.0218687,1.2141905,0.0,-28.647224,-70.83694,0.027555577,-28.245514,-70.23935,0.050582863,0.010476652145385743,1208.4153203964233,75000
1.8097633,-0.883464,-2.0568893,1.6698387,0.0,-31.051653,-79.927444,9.836527,-7.778283,431.6121,0.08320739,-30.735268,-79.72335,0.0584616,7.678546,-0.38489366,-2.046312,1.1736045,0.0,-30.689913,-76.74971,0.08332944,-30.33091,-76.54747,0.065592304,0.010467680644989014,1260.7537364959717,80000
15.810979,0.09963323,-2.0731921,1.889975,0.0,-32.56781,-78.146675,13.043256,-19.316303,760.8263,-0.017666087,-32.197147,-77.93264,0.06743194,16.560818,-0.01869936,-2.0415576,1.5648165,0.0,-32.01834,-71.20906,-0.0254049,-31.67503,-71.22885,0.066780254,0.010472680521011352,1313.1171514987946,85000
2.3615127,-0.61730295,-2.1534753,0.898423,0.0,-31.605816,-75.64731,7.104923,-3.8475566,203.224,0.018874012,-31.286102,-75.431854,0.06798016,1.193656,-0.9572632,-2.122151,1.4143298,0.0,-31.20145,-78.38589,0.040732644,-30.81919,-78.34786,0.08907744,0.010473870992660523,1365.4865198135376,90000
1.9530529,-0.4292525,-2.0942373,0.8677942,0.0,-31.501156,-72.69334,2.718689,-4.210304,149.28394,0.051434577,-31.135569,-72.179825,0.04174151,1.8913004,-0.46941102,-1.9484831,0.6989324,0.0,-30.767517,-75.11048,0.052256323,-30.349926,-74.72413,0.05215744,0.010469211626052856,1417.8325905799866,95000
9.502356,-0.15280455,-2.1001782,1.4094125,0.0,-32.982597,-79.35523,10.392004,-13.357651,473.45135,0.04330968,-32.636467,-78.76492,0.08285776,5.043955,-0.35414377,-2.021782,1.2405427,0.0,-31.509703,-73.440056,0.07081384,-31.164412,-73.20162,0.060521588,0.010472426700592041,1470.1947367191315,100000
0.6165243,-0.8265118,-2.0055523,1.1469749,0.0,-29.239716,-77.81423,9.761996,-9.610903,379.04904,0.009104855,-29.00653,-77.369064,0.03899172,0.8133741,-0.7460103,-2.037451,0.89795977,0.0,-29.184605,-74.54084,0.008814357,-28.831167,-74.06802,0.04331337,0.09186923818588257,1929.5409421920776,105000
3.5023847,-0.25895023,-1.9872048,1.1643672,0.0,-35.227173,-78.30398,9.59035,-5.609103,298.01355,0.04874464,-34.901367,-78.04341,0.059874296,2.038186,-0.47091454,-2.0314124,1.047712,0.0,-32.446796,-77.75474,0.058610708,-32.06025,-77.488365,0.052645374,0.010463072347640991,1981.8563177585602,110000
1.4956491,-0.5029454,-2.0261114,0.98091036,0.0,-33.28006,-80.37389,3.288827,-1.4525999,142.04771,-0.004930608,-32.979797,-80.242134,0.04463465,1.9016783,-0.44945747,-2.1820793,0.5894047,0.0,-31.597595,-79.54901,0.0031205863,-31.24535,-79.27795,0.051147908,0.01046945242881775,2034.2035915851593,115000
3.571826,-0.2930125,-2.0423994,0.7719453,0.0,-33.30471,-82.95225,1.2856383,-2.4323435,101.79942,0.07475745,-32.962936,-82.75885,0.06549913,1.4588479,-0.6095736,-2.1701431,0.6985569,0.0,-34.210857,-76.377815,0.09031901,-33.75599,-76.16816,0.05339539,0.010469676494598389,2086.551983833313,120000
8.5421505,-0.28618217,-2.0247865,1.1471685,0.0,-32.1167,-82.65407,3.9752517,-5.040281,323.2693,0.012576237,-31.793785,-82.56355,0.052006666,1.0536835,-0.71480584,-2.1193328,0.9173157,0.0,-31.24739,-73.26347,0.0060548037,-30.937462,-72.845825,0.06114363,0.010467395114898682,2138.888972759247,125000
5.5429864,-0.2948364,-2.0954313,0.7076984,0.0,-31.641962,-83.670105,3.4956396,-4.2087274,183.5727,0.043048605,-31.30949,-83.47824,0.047734395,8.689051,-0.04995527,-2.034982,0.77575624,0.0,-29.816292,-76.37357,0.042779967,-29.53752,-76.323166,0.054414086,0.010470686721801757,2191.2424187660217,130000
5.5532227,-0.10221739,-2.0851722,1.1952696,0.0,-32.94118,-82.945946,8.69585,-10.70212,397.0915,0.06803039,-32.659878,-82.72741,0.062524095,2.847433,-0.28122458,-1.9827621,0.80510503,0.0,-33.320663,-83.824905,0.05400019,-32.954357,-83.65672,0.047485765,0.010468295478820801,2243.583909511566,135000
0.56783867,-0.94541633,-2.0097606,1.5489328,0.0,-29.598545,-76.79189,15.921275,-8.514221,451.97202,0.03332535,-29.252026,-76.30829,0.079748735,0.7999315,-0.669978,-1.9866796,0.775295,0.0,-32.87198,-82.7536,0.06313262,-32.590416,-82.50935,0.063685045,0.010469165420532226,2295.9297485351562,140000
6.6628475,-0.0040512844,-2.1925244,0.85612476,0.0,-32.330036,-80.570984,9.248234,-9.807039,378.71866,0.038257845,-31.968224,-80.4227,0.036153574,5.687956,-0.12005402,-2.0680604,1.1480207,0.0,-31.214989,-78.695,0.04020653,-30.890177,-78.446175,0.06942922,0.010469621992111206,2348.2778718471527,145000
1.1380402,-0.4769319,-2.003002,0.7412765,0.0,-34.74295,-79.99547,2.3117857,-3.2180235,111.18909,-0.007528059,-34.42123,-79.954315,0.046870477,0.5036242,-0.7901081,-2.1264925,0.82322437,0.0,-31.681583,-80.30106,-5.4240227e-05,-31.405602,-80.01765,0.046076547,0.010472146606445312,2400.638614654541,150000
1.1984441,-0.5432087,-2.0309784,0.8363706,0.0,-33.69184,-75.5226,4.5811253,-3.2642953,175.45312,0.029415965,-33.458965,-75.37162,0.04478911,2.5350428,-0.27628085,-2.0801787,0.81355494,0.0,-32.000824,-75.040596,0.019976057,-31.71053,-74.869774,0.046986066,0.010468155956268311,2452.9794063568115,155000
1.9744658,-0.41647887,-1.9668144,0.8483131,0.0,-33.393486,-80.20074,2.4511366,-2.5391092,152.54344,0.05039452,-33.013626,-79.46662,0.053606726,1.488995,-0.4453686,-2.0407028,0.7765024,0.0,-35.627937,-81.89141,0.03839208,-35.31842,-81.676956,0.0348252,0.01046554126739502,2505.30712556839,160000
3.903269,-0.16112553,-2.0433125,0.9610752,0.0,-34.455544,-80.29017,4.795268,-8.855102,301.89316,0.06099402,-34.110348,-80.318405,0.044719413,5.375926,-0.107862934,-2.0091095,0.7952446,0.0,-32.547485,-81.14996,0.054958038,-32.230095,-80.91164,0.058636818,0.01046772723197937,2557.6457736492157,165000
0.835761,-0.6619927,-2.0113246,0.8794913,0.0,-29.775425,-75.69254,5.4956365,-4.0025883,197.24652,0.031575352,-29.458508,-75.08418,0.060388774,0.4823429,-0.7352977,-2.037045,0.78791475,0.0,-30.869335,-78.345436,0.037513576,-30.565144,-77.92733,0.046933576,0.010462414360046387,2609.9578578472137,170000
1.5038257,-0.60605884,-1.947334,1.1651174,0.0,-29.275501,-79.82244,7.9783773,-7.63803,350.99603,-0.0037739277,-29.119164,-79.49674,0.042176098,1.6549083,-0.35452944,-1.9342601,0.88901854,0.0,-35.261227,-80.55207,0.01169607,-34.94024,-80.37279,0.0466694,0.01046738085746765,2662.2947754859924,175000
0.54899704,-0.76732594,-2.0297287,1.0321616,0.0,-35.51745,-76.06643,11.758687,-11.105295,421.18317,0.034624062,-35.232407,-75.84797,0.038896892,0.5559486,-0.71986204,-2.0415208,1.2096217,0.0,-33.16999,-78.14246,0.029298022,-32.90442,-77.72007,0.045394048,0.01046694884300232,2714.6295335292816,180000
