training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.192879,0.17189156,-1.9922894,2.003337,-2.4579709,144.69664,0.013161473,-28.731264,-71.831024,0.18941125,6.718197,0.205502,-1.9171606,0.025545485,-28.26548,-67.95596,0.26051354,0.007893367624282837,1686.9508204460144,115000
9.548961,0.19268867,-1.94135,3.520584,-4.14378,240.68274,0.037836835,-29.815277,-74.95479,0.30771077,8.740145,0.15241432,-1.9831297,0.037445083,-28.268944,-69.78662,0.24249232,0.00788964319229126,1726.3990452289581,120000
9.8178005,0.21707448,-1.8496184,2.1747477,-3.0561514,167.22264,-0.0013029762,-30.09856,-71.48386,0.26059443,6.211865,0.10415937,-1.9272566,-0.007367242,-28.331684,-74.17765,0.20608416,0.007883898782730103,1765.8185513019562,125000
9.749865,0.21380775,-1.9132788,2.01985,-3.1618316,200.3404,-0.004142631,-28.61269,-71.34868,0.22951856,9.384649,0.1544596,-1.9539554,0.004508365,-27.352028,-72.31046,0.24524933,0.007886725187301635,1805.2521862983704,130000
8.248434,0.18266065,-1.9614125,3.0721505,-5.346617,152.28273,-0.01793613,-29.27742,-73.45715,0.18529376,7.2442865,0.101240456,-1.8894913,-0.012117919,-27.717796,-70.04851,0.2325993,0.007887414836883546,1844.6892726421356,135000
7.3170214,0.139832,-1.8111715,2.537276,-3.2618394,131.10596,0.018215228,-30.764729,-70.548065,0.15604658,9.279295,0.21832559,-1.8621087,0.023718957,-27.467539,-73.84958,0.16746074,0.007894188499450684,1884.160227060318,140000
5.831498,0.15723917,-2.0680776,1.82919,-1.7364568,123.55847,0.014824584,-27.649218,-73.79512,0.20588529,10.17127,0.12923734,-2.0073266,0.010147143,-31.92021,-71.46713,0.22751284,0.007899810266494752,1923.6592881679535,145000
5.262505,0.18332565,-1.77716,1.2580166,-1.6055233,83.60061,-0.009773161,-27.207472,-74.710144,0.15996028,6.4641943,0.13249873,-1.9640311,-0.0041560903,-28.96265,-70.967285,0.18635571,0.00789452042579651,1963.1319034099579,150000
7.1082754,0.19153422,-1.8618506,4.0492377,-3.3778265,149.5116,-0.0070189834,-27.934004,-71.0717,0.13652001,5.7801857,0.1601694,-1.8631933,-0.012011964,-29.828213,-73.900375,0.17225868,0.007895891427993774,2002.6113729476929,155000
6.3239403,0.18906671,-1.8378639,1.1475663,-1.7617368,102.13132,-0.014302794,-26.05075,-67.82624,0.19769114,8.67524,0.16955647,-1.9133419,0.00543613,-29.33865,-73.82809,0.1532057,0.0078918683052063,2042.0707235336304,160000
