training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
9.923633,0.23886648,-1.8987586,7.0996857,-7.760165,218.39088,0.0070347674,-32.75531,-76.61746,0.17593634,10.146185,0.10775712,-2.0469396,-0.014169101,-28.697708,-80.02456,0.1872732,0.009769584608078002,2132.5501260757446,120000
8.326147,0.1477407,-1.9973298,2.0993516,-4.15631,118.52951,0.025594413,-29.157804,-76.86365,0.17577884,7.1538353,0.15873584,-1.8669202,0.036728673,-30.424984,-73.34505,0.18859257,0.009772538566589356,2181.412835121155,125000
7.228386,0.18794426,-1.9446384,1.8922801,-2.267047,92.162895,0.017962944,-30.855282,-73.820724,0.14475426,7.1402326,0.12945263,-2.0195532,0.006578721,-29.184196,-76.0096,0.19780521,0.011293761110305786,2237.88165473938,130000
6.1199265,0.15766668,-1.8372877,0.96347153,-1.302301,89.82292,-0.036842655,-29.408875,-73.24692,0.22065592,7.461628,0.13736221,-1.9240996,-0.017498318,-31.518944,-72.46266,0.23041248,0.011128657245635986,2293.524959564209,135000
7.5723314,0.13297772,-1.8287438,1.5916064,-1.5397666,121.041016,0.021661092,-30.069805,-76.351944,0.18492676,8.398719,0.108215466,-1.8319852,0.03773792,-27.385048,-76.48259,0.20500368,0.009312512922286987,2340.0875380039215,140000
7.2746983,0.14933486,-1.9909949,2.235734,-2.3205955,153.82533,-0.008439902,-30.907177,-81.05305,0.2533519,8.017939,0.05665952,-1.9958385,-0.0120528415,-28.699165,-72.151215,0.15771995,0.008513999128341675,2382.6575458049774,145000
8.342012,0.1652804,-1.8857827,1.5300033,-2.284555,99.451,-0.0014290847,-33.28641,-79.637344,0.16888711,7.16707,0.16566366,-1.9222186,0.0093196295,-31.228254,-75.5926,0.18224367,0.009297931241989136,2429.1472272872925,150000
8.937141,0.2189574,-1.9807899,3.4821248,-4.2537894,135.47514,-0.016798623,-31.092405,-80.26993,0.2058182,7.8258657,0.109124854,-1.9537213,0.0014851689,-33.203724,-71.010345,0.20096448,0.010490081357955932,2481.597650051117,155000
9.721294,0.16047549,-1.9946264,3.777803,-3.434266,145.54321,0.019567996,-30.935715,-76.4629,0.16786508,7.485345,0.10522245,-1.8305918,0.020793453,-30.799978,-73.16382,0.2126318,0.009129862308502197,2527.24697804451,160000
8.82881,0.11987188,-2.0840693,2.223735,-4.2737336,124.4731,0.013593614,-28.806938,-71.33768,0.21386755,9.500422,0.17469022,-1.9605974,0.04383602,-28.151321,-77.70997,0.16595587,0.008745460605621338,2570.974296808243,165000
7.151613,0.08958749,-2.0640008,2.4427578,-2.3994427,113.56557,0.015231863,-29.967258,-75.61975,0.15090257,6.7467117,0.12724495,-2.0800612,0.027930662,-28.473984,-72.20004,0.20200123,0.008377321434020996,2612.860913991928,170000
