training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
16.186668,0.16522309,-1.661326,90.99173,-143.83487,2206.8896,414.9202,459.4991,87.62483,0.18815517,0.06774178,4.5130353,0.8218116,0.017365228,319.31882,-5.6652846,430.88614,436.55142,17.375645,0.21355611,-1.6753845,405.08127,476.90265,98.34596,0.99794817,0.028352555,2.3833199,0.8643341,0.029105185,319.33618,6.9128127,421.04807,414.13525,0.012383211183547974,2578.313400745392,120000
20.684889,0.28033748,-1.7001947,217.59235,-563.1348,4240.1455,418.9309,492.059,83.62517,1.1840942,0.045128293,3.1387663,0.86458856,0.048558503,320.93567,1.5635047,434.9777,433.41418,19.588394,0.3392861,-1.4660065,406.71118,491.7848,96.964424,1.5779091,0.03648364,2.0985134,0.9013045,0.06461197,320.92972,4.3378015,422.75766,418.41986,0.012404763269424439,2640.337228536606,125000
21.127565,0.08978387,-1.6807265,152.3381,-220.18073,2366.379,414.1209,507.56134,88.458626,1.7032925,0.015068307,1.5323005,0.8428972,0.019944448,320.41547,11.192655,430.1417,418.94904,19.448898,0.24533135,-1.5417769,407.6164,417.5481,95.0965,0.8984047,0.025230741,2.3992262,0.8461826,0.020929597,320.40646,7.9362307,423.63672,415.7005,0.012401870012283326,2702.346591234207,130000
17.790476,0.1354861,-1.5813068,743.43945,-701.3227,15652.634,417.09772,529.6559,85.850746,2.6421146,0.26260167,8.7220545,0.8857179,0.07273411,322.52994,-68.570404,433.2242,501.79462,16.436817,0.15214881,-1.7087057,420.55588,503.58566,82.47545,2.3987658,0.064482436,3.3676805,0.85212564,0.06267354,322.57117,-4.671616,436.68442,441.35605,0.012403675317764283,2764.3649780750275,135000
17.069881,0.15173166,-1.4825709,102.453156,-96.333084,2306.6755,414.63934,417.71075,87.766464,2.6669307,0.040873125,3.2900746,0.8456334,0.012084166,323.4502,2.9520898,430.81186,427.85977,18.78377,0.07783147,-1.6700474,410.9464,439.88342,92.06119,1.2095377,0.028634146,2.6414769,0.8070588,0.018014506,323.4448,6.9106746,427.11865,420.20798,0.012396337366104127,2826.3466744422913,140000
17.208551,0.26141968,-1.5422438,256.6919,-232.29147,3344.5417,407.70712,478.47604,95.474174,1.4972147,0.023517724,2.2607706,0.87558424,0.020197676,321.9258,8.525329,423.8034,415.27808,18.693222,0.2720553,-1.639316,412.8566,475.57367,90.1499,1.511762,0.036102396,3.1773398,0.8746977,0.03450136,321.90616,4.473725,428.9519,424.47818,0.012398150253295898,2888.3374359607697,145000
19.717066,0.28012672,-1.5139363,156.20206,-238.4736,3290.1333,416.72018,359.33276,85.513275,0.5302382,0.06724875,2.9494927,0.880767,0.015949167,322.09378,-5.5557137,432.82486,438.38058,19.073248,0.053290345,-1.8010906,417.47485,448.1085,85.016884,0.24040958,0.059379887,3.0832424,0.8761318,0.031924974,322.10056,-3.0212665,433.57986,436.60114,0.012401235771179199,2950.343626022339,150000
18.728374,0.2907068,-1.6467443,299.38287,-450.04517,4876.711,416.52838,454.77185,86.17548,2.2620056,0.043333057,3.0003176,0.8784189,0.031953383,322.53488,2.1503217,432.65512,430.5048,19.010937,0.16956149,-1.6113751,420.31128,431.97232,81.88835,4.9504747,0.024284203,2.7117283,0.8230052,0.016977273,322.5658,8.295037,436.43958,428.14453,0.01240439739227295,3012.365625143051,155000
16.32794,0.23853663,-1.6180427,195.42007,-287.54932,3059.5728,408.6894,548.6453,94.27295,1.3717645,0.028066227,2.88449,0.8173608,0.04145519,323.45868,7.0946693,424.86234,417.76767,18.146679,0.1515506,-1.6502311,421.494,400.8337,80.55437,1.6750458,0.016504936,2.0445795,0.8097025,0.038525328,323.4451,10.833815,437.66623,426.83243,0.012399857091903686,3074.36492061615,160000
21.095085,0.31873602,-1.6544995,466.67252,-727.96344,7252.0527,415.98676,442.7679,86.38928,0.8116466,0.031950086,2.5437708,0.8713729,0.03205201,321.84445,5.8092647,432.07898,426.2697,16.255249,0.18630844,-1.6639404,414.80536,446.81122,87.989624,3.6390142,0.05005725,3.907471,0.8307165,0.045864705,321.83862,-0.018425345,430.89728,430.9157,0.01239623942375183,3136.3461287021637,165000
12.745638,0.11492282,-1.5980008,101.21257,-225.1708,2032.7098,434.09424,318.15482,67.454895,2.4514358,0.017376173,2.1635094,0.7693006,0.046794657,326.1758,10.641104,450.40305,439.76193,17.402363,0.25707403,-1.6351359,435.63824,380.8786,66.11218,1.134646,0.004683387,1.3946205,0.7848921,0.025374852,326.15964,14.780451,451.94623,437.16577,0.012394989442825317,3198.3210875988007,170000
20.936268,0.1451679,-1.561156,249.06769,-346.91742,3308.7153,413.7885,383.81177,88.491936,0.8748686,0.051141687,3.1718593,0.8635307,0.024326123,321.2883,-0.36681035,429.8529,430.21973,21.222301,0.30469635,-1.5429211,406.78595,479.59995,96.4214,3.3022044,0.04004525,2.898308,0.8968672,0.023286792,321.2854,3.198316,422.85022,419.65192,0.012385985660552979,3260.251024246216,175000
16.953522,0.3076678,-1.5998046,384.4226,-212.51035,3240.1753,405.40536,506.4013,98.18277,1.080479,0.023923784,2.038379,0.8630305,0.0495777,327.2186,8.532623,421.7663,413.23367,19.143421,0.1542605,-1.631597,412.90515,488.37958,90.05365,2.4373865,0.051738318,2.3328185,0.8849479,0.047461607,327.2662,-0.56889254,429.26846,429.83734,0.012363183784484864,3322.066951751709,180000
22.732576,0.3096887,-1.5448182,125.68143,-292.09323,2865.6433,418.51,460.4954,84.05812,1.6544012,0.036056124,2.4366546,0.8931482,0.023654114,328.24078,4.576949,434.92203,430.3451,17.161613,0.085513815,-1.5639762,409.17953,426.67816,93.5757,1.9172835,0.017001517,1.9147409,0.8291446,0.023554225,328.22607,10.830963,425.59085,414.7599,0.012363293266296387,3383.883427143097,185000
19.12212,0.2786463,-1.6388426,113.585625,-260.07965,2370.239,418.8382,498.77603,83.52159,1.4634126,0.021413382,1.9365275,0.8624834,0.03016676,327.71158,9.368166,435.2238,425.85562,20.528805,0.37961054,-1.4944036,418.86313,451.6582,83.629105,4.4108515,0.017585328,2.0630267,0.8813093,0.029773157,327.69907,10.622258,435.24808,424.62582,0.012371622848510741,3445.741550922394,190000
19.576067,0.25512806,-1.6912495,212.51427,-317.3025,5051.4756,406.88806,493.06586,96.70046,4.050564,0.08275126,3.541466,0.8587769,0.031477787,329.024,-10.7759495,423.33926,434.1152,22.478046,0.31114218,-1.6476228,410.97253,529.9631,92.65826,0.61149335,0.029611653,2.5067976,0.89043057,0.06507972,329.03387,6.708457,427.42422,420.71576,0.012353162384033204,3507.507372379303,195000
21.067535,0.3305825,-1.5553062,369.6028,-239.34717,3312.6523,415.58704,414.65433,86.73985,2.012445,0.02485862,2.1101794,0.86744046,0.024456881,329.93396,8.294995,432.0837,423.78873,17.640615,0.13541211,-1.5857809,418.01385,455.7018,84.40776,0.56905377,0.08182433,4.8170276,0.87208503,0.032780066,329.93033,-10.499812,434.51038,445.0102,0.012361588907241821,3569.315325975418,200000
