training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
0.6167202,-0.7828482,-2.079605,0.79618126,0.0,-36.34075,-81.80737,9.032047,-9.15571,275.49393,0.05805777,-36.064323,-81.63594,0.04344361,0.7783724,-0.84962,-2.1114697,0.9839784,0.0,-36.14244,-79.399605,0.04387173,-35.850655,-79.26289,0.04303693,0.010692849349975586,5865.627881288528,330000
2.8217049,-0.42214954,-2.1000214,0.7928299,0.0,-36.467514,-79.81236,1.5327042,-2.2060843,77.54752,0.016246974,-36.137707,-79.54994,0.041112773,2.5784566,-0.35546884,-2.088317,0.64925575,0.0,-34.34163,-83.4751,0.022094607,-34.03899,-83.3277,0.053262785,0.010737857913970947,5919.317186594009,335000
18.115538,0.15221342,-2.0866516,1.3579302,0.0,-37.171978,-80.79541,13.592642,-15.222976,486.54437,-0.008300215,-36.91965,-80.661736,0.089670435,4.318864,-0.3127404,-2.1008906,1.0728893,0.0,-37.294704,-79.26592,0.0012701154,-37.014694,-78.857,0.04795111,0.010746112203598022,5973.047763824463,340000
3.1672902,-0.24858996,-2.082375,1.0095394,0.0,-35.90107,-83.1725,5.936306,-6.7641907,226.1313,0.06475513,-35.6223,-83.00221,0.046215236,2.1089573,-0.4974409,-2.0897179,0.6379483,0.0,-37.476524,-82.78731,0.0736604,-37.22242,-82.59948,0.03387811,0.010719920682907105,6026.647381305695,345000
7.162608,0.027834214,-2.0945005,0.84719586,0.0,-33.763252,-80.95552,8.28476,-7.820117,240.86038,0.029287636,-33.49697,-80.991005,0.030488614,8.599069,0.03677616,-2.0916104,1.5346291,0.0,-37.35398,-82.35635,0.025118604,-37.005775,-82.164154,0.037217624,0.010689803409576416,6080.096413135529,350000
5.014547,-0.22078803,-2.0651536,1.0779405,0.0,-35.149094,-81.20735,5.98764,-5.5473204,197.6183,-0.013449788,-34.8703,-81.00852,0.04222543,4.171398,-0.25604266,-2.1022482,0.9273227,0.0,-38.31254,-81.88291,-0.0067573786,-38.04642,-81.754036,0.044378478,0.010693299865722657,6133.562928676605,355000
4.396296,-0.21549296,-2.0748901,0.6047938,0.0,-36.01675,-79.066124,5.0598044,-5.293932,166.17757,0.023361027,-35.729847,-78.38874,0.038384188,4.644253,-0.0467723,-2.0911021,0.9565257,0.0,-34.739082,-81.2401,0.009638578,-34.40335,-81.51031,0.04985272,0.010689741849899292,6187.011652469635,360000
4.244555,-0.16130875,-2.0890183,0.83320117,0.0,-37.587067,-82.71188,3.8408685,-4.832692,171.56032,0.018716112,-37.35296,-82.561325,0.032329462,2.7243924,-0.3406706,-2.080623,0.8896451,0.0,-35.931328,-82.3548,0.022594914,-35.61254,-82.26237,0.03612041,0.01071180067062378,6240.57067155838,365000
2.28298,-0.39582506,-2.0802474,0.94478005,0.0,-35.91189,-79.80637,4.364872,-5.5934834,165.73071,0.067780375,-35.621666,-79.560905,0.03943755,2.9263625,-0.38882506,-2.0924284,1.0654823,0.0,-35.70646,-80.46891,0.0681337,-35.49038,-80.318565,0.04314103,0.010690953254699707,6294.025453567505,370000
3.2026114,-0.3501293,-2.08772,0.9891874,0.0,-34.964745,-80.89614,1.9519386,-3.6305115,129.73123,0.09305699,-34.680706,-80.473885,0.05176112,1.1867745,-0.65604943,-2.0842981,0.9286845,0.0,-35.07888,-79.001656,0.10653038,-34.741257,-78.87157,0.047509775,0.010691847515106202,6347.484707593918,375000
2.758869,-0.3845128,-2.0871928,0.9388504,0.0,-38.266853,-80.41282,2.0263827,-3.350256,139.5531,0.018002152,-37.972435,-80.084236,0.044653043,4.7506065,-0.13148072,-2.1098914,0.902424,0.0,-33.677574,-82.2649,0.008299813,-33.383434,-82.16274,0.039273303,0.010693206596374513,6400.950756311417,380000
13.458392,0.13831963,-2.112163,1.1027787,0.0,-33.20611,-81.616776,9.328239,-9.80993,287.12308,0.049482092,-32.961014,-81.39619,0.039693475,2.4555068,-0.62380576,-2.0902364,1.5527568,0.0,-38.264587,-79.46536,0.05782281,-37.972977,-79.137215,0.0682583,0.010718429899215698,6454.542920827866,385000
1.8895102,-0.5144995,-2.0872416,0.8965461,0.0,-34.942635,-82.42164,6.2099395,-4.4058466,163.31699,0.020557404,-34.635315,-82.2401,0.042667877,5.2477746,-0.33803093,-2.0984364,0.9934171,0.0,-37.157658,-82.35675,0.020595342,-36.85931,-82.49707,0.03637475,0.010713881635665893,6508.112342834473,390000
