training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
14.017763,0.19760941,-1.6285726,153.90685,-91.450874,1809.4828,446.03424,251.8786,55.267857,1.3336707,0.008583397,1.7054529,0.77646637,0.066082984,305.76678,12.663822,461.32257,448.65875,13.853755,0.16334496,-1.6922703,448.40042,181.70143,52.82969,1.7442681,0.056535147,3.9150386,0.7579094,0.04497625,305.7745,-1.9982811,463.68915,465.68744,0.012356740713119508,3075.0260705947876,155000
21.10953,0.25232893,-1.6799939,152.81783,-149.91138,2101.504,426.20218,373.29993,75.54102,4.6568456,0.022505825,2.2004619,0.8407664,0.06864952,306.29517,8.421333,441.51694,433.0956,20.265575,0.2771793,-1.5329053,425.73035,366.4345,76.214676,5.002609,0.066044785,4.0082045,0.90312964,0.042944275,306.28552,-4.914285,441.04465,445.95892,0.012342069435119628,3136.736430644989,160000
20.094273,0.13604534,-1.7212912,353.38025,-290.63922,4701.4873,419.29996,413.6765,82.95134,4.3965163,0.06659125,3.1443167,0.8919352,0.035145972,304.04724,-5.044523,434.50232,439.54684,19.898354,0.17118962,-1.5112,417.25214,430.75214,85.123535,2.9985,0.057095386,2.969747,0.9059917,0.036317807,304.06073,-2.157428,432.45517,434.6126,0.012367597007751465,3198.5744264125824,165000
26.866337,0.22476454,-1.7130737,1242.8317,-863.5025,12572.192,419.31247,437.19284,82.94684,5.12706,0.03797539,1.8166739,0.94176656,0.048188612,307.5676,3.6983807,434.69086,430.99246,20.475973,0.13920757,-1.7906451,427.57904,407.39087,74.34232,0.41629955,0.018041529,2.1878998,0.8443829,0.06725617,307.5607,9.82917,442.95706,433.1279,0.012509781122207641,3261.1233434677124,170000
18.64643,0.13261607,-1.6245999,1558.4175,-1697.0952,19305.885,442.9041,220.93916,58.430313,1.2820923,0.08943983,3.1849196,0.8618865,0.052626077,310.3687,-12.24089,458.42258,470.66345,12.979154,0.17797697,-1.6491582,445.2944,250.03258,56.00931,4.6655135,0.016271621,2.1545348,0.7698424,0.091591135,310.3942,10.469093,460.81412,450.34503,0.012343957614898681,3322.843152999878,175000
24.454021,0.3187675,-1.7065213,235.68535,-96.9005,2827.8633,418.9615,434.30066,83.35194,3.2331464,0.044412352,3.3007298,0.9363589,0.05762159,312.01492,1.7434298,434.56226,432.81882,23.539616,0.22999409,-1.6796237,423.2242,396.708,79.01064,2.3528714,0.060515627,3.7587724,0.9607754,0.061476886,312.0307,-3.2811983,438.82574,442.10693,0.012342532873153686,3384.5558393001556,180000
23.184334,0.2797424,-1.5617617,125.02379,-188.32715,3105.3086,423.72986,377.50906,78.21021,1.6418809,0.06306364,3.5748637,0.9169182,0.06751615,310.71124,-4.0590186,439.2654,443.32443,21.610725,0.1230944,-1.7387443,421.60046,407.66287,80.567345,4.503658,0.1329609,6.2418075,0.88609385,0.042322334,310.72144,-25.77773,437.13654,462.91428,0.012402704668045043,3446.56937456131,185000
19.13107,0.17019649,-1.5217975,88.05445,-72.73822,2916.1675,416.85248,394.62256,85.254005,1.4898009,0.09523494,4.173571,0.89167154,0.06418481,310.09167,-14.026978,432.35706,446.38403,21.96616,0.09226182,-1.7507977,419.79413,468.70184,82.46894,3.9327757,0.13929076,4.6504335,0.9164905,0.086118355,310.07288,-27.686646,435.29776,462.9844,0.012349534511566162,3508.317060947418,190000
20.744598,0.071038425,-1.6252596,467.16602,-488.14578,5637.891,417.5805,443.11594,84.83291,3.385041,0.04644053,2.3096392,0.89875126,0.04710761,311.263,1.1079314,433.14368,432.03574,22.905033,0.22966439,-1.7136078,417.44873,584.10205,85.439514,0.42599365,0.062125202,2.9448943,0.9136861,0.06339033,311.26108,-3.7741034,433.01178,436.7859,0.012374596786499024,3570.1900577545166,195000
17.526318,0.16602166,-1.6466258,216.10443,-255.14948,3085.6157,431.53662,294.32175,70.057625,5.7155256,0.00888103,1.8221533,0.8133501,0.06686929,313.4583,12.889084,447.20953,434.32047,18.295097,0.26993403,-1.7110863,436.5228,300.226,65.001945,2.218161,0.02426647,2.302102,0.85417676,0.09386822,313.47028,8.066697,452.19632,444.1296,0.012395597553253174,3632.1680579185486,200000
