training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
0.2615255,-1.3240695,9.292126,9.189386,-2.6542693e-08,-9.189385,1.4667069e-07,1.0,1.4770823,-1.6763806e-08,-1.4770824,-1.6867777,-1.6867781,-1.6867782,1.3381087,9.189384,-9.313226e-09,-9.189385,1.179434e-07,1.0,1.6092912,-1.8626451e-08,-1.6092913,-1.6841667,-1.6841669,-1.6841671,1.3909291,0.018520338439941407,1912.9821968078613,70000
0.24214695,-1.5097226,10.148626,9.189386,-4.1909516e-09,-9.189385,1.5304407e-07,1.0,1.5368888,-5.5879354e-09,-1.536889,-1.7527455,-1.7527456,-1.7527461,1.3152156,9.189386,1.8626451e-09,-9.189386,2.1915267e-07,1.0,1.5561571,4.656613e-10,-1.5561571,-1.748342,-1.7483425,-1.7483425,1.1229157,0.01877787895202637,2006.871601343155,75000
0.20531495,-1.5213933,11.109259,9.189386,-9.313226e-10,-9.189384,1.3257689e-07,1.0,1.5694749,-4.1909516e-09,-1.5694749,-1.6723566,-1.6723568,-1.6723571,1.3693718,9.189386,-3.7252903e-09,-9.189385,1.947102e-07,1.0,1.5074501,-4.656613e-09,-1.5074503,-1.6676185,-1.6676188,-1.667619,1.2267694,0.018679421520233153,2100.268720626831,80000
0.14226766,-0.17866135,6.3907876,9.189384,2.7939677e-09,-9.189384,1.16100786e-07,1.0,1.4699645,-3.7252903e-09,-1.4699645,-1.6672311,-1.6672313,-1.6672316,1.2567599,9.189384,-1.1175871e-08,-9.189384,6.877698e-08,1.0,1.5197444,8.8475645e-09,-1.5197443,-1.6706045,-1.6706047,-1.6706066,1.4256684,0.018526908016204834,2192.903272628784,85000
0.21930581,-0.15965624,6.1780806,9.189392,3.259629e-09,-9.189392,1.4359293e-06,1.0,1.558135,-8.8475645e-09,-1.558135,-1.6362262,-1.6362264,-1.6362265,1.2766316,9.18939,-9.313226e-09,-9.18939,8.4543854e-07,1.0,1.5641398,6.9849193e-09,-1.5641398,-1.6352109,-1.635211,-1.6352113,1.2157338,0.01852953429222107,2285.5509536266327,90000
1.2745061,-0.11514062,9.1438,9.189384,3.259629e-09,-9.189385,7.959369e-08,1.0,1.3964605,-1.1641532e-08,-1.3964605,-1.668931,-1.6689315,-1.6689324,1.1716487,9.189384,-2.3283064e-09,-9.189384,6.39134e-08,1.0,1.5169303,-7.916242e-09,-1.5169303,-1.6705723,-1.6705725,-1.670573,1.210242,0.018546504878997803,2378.283489227295,95000
0.16118762,-0.78211707,8.470045,9.189388,6.519258e-09,-9.189388,6.6507556e-07,1.0,1.4969177,4.656613e-09,-1.4969177,-1.7129989,-1.7129992,-1.7129993,1.3039947,9.189386,-1.9092113e-08,-9.189386,2.408918e-07,1.0,1.5700753,-9.313226e-09,-1.5700754,-1.7142658,-1.7142658,-1.7142661,1.2346694,0.018619118022918702,2471.379090309143,100000
0.16511238,-0.16033259,6.3257856,9.189386,4.1909516e-09,-9.189386,3.464779e-07,1.0,1.4690747,-4.1909516e-09,-1.4690747,-1.6836408,-1.6836412,-1.6836412,1.2297392,9.189398,6.0535967e-09,-9.189398,2.5204215e-06,1.0,1.6468949,9.313226e-10,-1.6468949,-1.6826067,-1.6826067,-1.6826069,1.3094406,0.1335888957500458,3139.3235828876495,105000
0.5302809,-0.18649825,7.831532,9.189386,-1.8626451e-09,-9.189385,1.9712603e-07,1.0,1.5858462,-1.3038516e-08,-1.5858464,-1.6927171,-1.6927173,-1.6927173,1.2190604,9.189386,-1.1175871e-08,-9.189386,2.8088544e-07,1.0,1.6385292,-4.656613e-10,-1.6385292,-1.6950914,-1.6950915,-1.6950917,1.2863282,0.018737416172027586,3233.010678768158,110000
0.18366517,-0.695391,9.691082,9.189386,4.1909516e-09,-9.189385,2.9242824e-07,1.0,1.4620473,3.259629e-09,-1.4620473,-1.6997364,-1.6997366,-1.6997368,1.2939649,9.189384,-4.656613e-10,-9.189384,7.869817e-08,1.0,1.54147,0.0,-1.5414699,-1.7018412,-1.7018414,-1.7018416,1.3352394,0.01855199499130249,3325.770665407181,115000
