training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.4105327,-0.23131609,10.952154,9.189384,-9.778887e-09,-9.189384,1.3295356e-08,1.0,1.5633436,-4.656613e-10,-1.5633438,-1.6899354,-1.6899364,-1.6899369,1.1297455,9.189384,1.6763806e-08,-9.189384,1.8220511e-08,1.0,1.606789,8.8475645e-09,-1.6067889,-1.693296,-1.6932962,-1.6932964,1.3044004,0.018712192821502684,4665.689325809479,180000
1.368804,-0.26399708,11.694166,9.189386,-5.5879354e-09,-9.189385,1.8860968e-07,1.0,1.7052071,5.122274e-09,-1.7052071,-1.6459651,-1.6459653,-1.6459657,1.1780465,9.189388,1.6298145e-08,-9.189387,3.884523e-07,1.0,1.6118975,-1.2572855e-08,-1.6118977,-1.6500518,-1.6500523,-1.6500529,1.3019744,0.018896135330200195,4760.17001414299,185000
1.1140349,-0.3202473,11.4179535,9.189385,-6.0535967e-09,-9.189385,6.474901e-08,1.0,1.6334445,-3.7252903e-09,-1.6334444,-1.6495563,-1.6495564,-1.6495566,1.1850202,9.189385,-1.1175871e-08,-9.189385,5.7503303e-08,1.0,1.7289807,-7.916242e-09,-1.7289805,-1.6519593,-1.6519597,-1.6519599,1.2723775,0.018749739456176757,4853.918722867966,190000
0.24467671,-0.30832213,8.386078,9.189386,2.7939677e-09,-9.189385,2.0250471e-07,1.0,1.5813982,2.7939677e-09,-1.5813982,-1.7129995,-1.7129996,-1.713,1.2173938,9.189384,6.519258e-09,-9.189384,6.402588e-08,1.0,1.6305994,1.071021e-08,-1.6305993,-1.7143865,-1.7143869,-1.7143873,1.2871115,0.019257888889312746,4950.208179950714,195000
0.25270236,-0.20010841,7.0655184,9.189384,6.9849193e-09,-9.189384,4.530605e-08,1.0,1.6025037,-4.656613e-10,-1.6025037,-1.6527914,-1.6527917,-1.6527919,1.2876494,9.189384,-7.450581e-09,-9.189385,8.2644746e-08,1.0,1.6531019,1.3969839e-09,-1.6531019,-1.647936,-1.6479361,-1.6479366,1.2750295,0.018915268087387086,5044.78453207016,200000
0.31128606,-0.4036682,11.719877,9.189384,5.122274e-09,-9.189384,2.5432746e-08,1.0,1.5909791,8.8475645e-09,-1.590979,-1.6801969,-1.680197,-1.6801972,1.2636471,9.189386,-4.656613e-09,-9.189385,1.0136917e-07,1.0,1.6647669,-6.0535967e-09,-1.6647668,-1.6819975,-1.6819975,-1.6819978,1.343487,0.1414088032722473,5751.828558683395,205000
0.61925757,-0.29499745,11.6813345,9.189386,2.3283064e-09,-9.189385,1.3583065e-07,1.0,1.5603259,5.5879354e-09,-1.5603259,-1.6755271,-1.6755273,-1.6755273,1.2215415,9.189386,-5.122274e-09,-9.189385,2.0230368e-07,1.0,1.6552899,3.259629e-09,-1.6552899,-1.6713655,-1.6713657,-1.671366,1.1572337,0.018989160871505737,5846.774379968643,210000
0.2971274,-1.3547037,11.716373,9.189384,-1.3969839e-09,-9.189385,9.570001e-08,1.0,1.4523791,2.3283064e-09,-1.4523791,-1.6877733,-1.6877735,-1.6877737,1.3502454,9.189384,-2.3283064e-09,-9.189385,1.1702803e-07,1.0,1.6892632,-8.8475645e-09,-1.6892632,-1.6889613,-1.6889613,-1.6889615,1.1761397,0.01940433464050293,5943.796068191528,215000
0.339817,-1.5410067,13.658464,9.189386,-4.1909516e-09,-9.189385,8.836096e-08,1.0,1.5973492,-1.8626451e-09,-1.5973492,-1.6803982,-1.6803987,-1.6803987,1.3862358,9.189386,2.3283064e-09,-9.189385,1.2438518e-07,1.0,1.6934317,9.778887e-09,-1.6934317,-1.6761522,-1.6761522,-1.6761526,1.319971,0.01883729410171509,6037.982556581497,220000
0.27607206,-0.4643088,10.244017,9.189385,6.0535967e-09,-9.189385,4.458465e-08,1.0,1.5532261,1.3969839e-08,-1.553226,-1.6822125,-1.6822128,-1.6822128,1.291167,9.189384,-7.916242e-09,-9.189384,1.4821464e-08,1.0,1.7624409,-4.656613e-09,-1.7624409,-1.6806486,-1.6806488,-1.680649,1.2647117,0.018859362745285033,6132.2793934345245,225000
1.5453713,-0.23034695,12.286947,9.189384,2.0954758e-08,-9.189384,2.7820105e-08,1.0,1.6019472,4.1909516e-09,-1.6019472,-1.6702197,-1.6702197,-1.6702199,1.131438,9.189384,3.7252903e-09,-9.189385,8.136645e-08,1.0,1.6861596,-2.7939677e-09,-1.6861596,-1.6767232,-1.6767235,-1.6767237,1.274202,0.01941146755218506,6229.336750745773,230000
0.820871,-0.24467018,12.291402,9.189386,1.1641532e-08,-9.189385,7.644618e-08,1.0,1.5857326,1.1641532e-08,-1.5857326,-1.6930332,-1.6930335,-1.6930337,1.2000757,9.189386,-6.519258e-09,-9.189385,1.0725787e-07,1.0,1.7300514,1.8626451e-09,-1.7300514,-1.6943581,-1.6943583,-1.6943585,1.2401779,0.018681347131729125,6322.743499517441,235000
2.0157504,-0.29567742,13.576888,9.189384,4.1909516e-09,-9.189384,4.932274e-08,1.0,1.5836198,3.7252903e-09,-1.5836198,-1.6720214,-1.6720216,-1.6720216,1.0974588,9.189384,5.5879354e-09,-9.189384,3.965385e-08,1.0,1.6000942,4.1909516e-09,-1.6000941,-1.6723802,-1.6723804,-1.6723806,1.3180909,0.0184690788269043,6415.088901996613,240000
2.2432618,-0.55931693,14.900891,9.189386,-5.5879354e-09,-9.189387,4.0587528e-07,1.0,1.550253,-5.5879354e-09,-1.550253,-1.6789019,-1.6789019,-1.6789023,1.0682088,9.189386,4.1909516e-09,-9.189385,3.2711236e-07,1.0,1.6933048,-8.381903e-09,-1.6933049,-1.6814983,-1.6814985,-1.6814985,1.2125578,0.01854118447303772,6507.794838190079,245000
0.21933098,-1.1141448,13.14488,9.189386,6.9849193e-09,-9.189385,2.0158912e-07,1.0,1.6277218,0.0,-1.6277217,-1.689564,-1.689564,-1.6895642,1.3475316,9.189386,3.259629e-09,-9.189385,1.5506247e-07,1.0,1.6794972,-5.5879354e-09,-1.6794974,-1.6911771,-1.6911774,-1.6911774,1.3612492,0.01942711935043335,6604.930458307266,250000
0.22590429,-0.23783222,8.848345,9.189384,-5.5879354e-09,-9.189384,3.0732757e-08,1.0,1.5793164,-3.259629e-09,-1.5793164,-1.6771464,-1.6771467,-1.6771467,1.2394011,9.189384,-5.122274e-09,-9.189384,5.6768943e-08,1.0,1.7728107,0.0,-1.7728107,-1.675919,-1.6759193,-1.6759195,1.2786436,0.018636789512634276,6698.114414930344,255000
0.26852113,-0.3720124,10.064212,9.189386,2.3283064e-09,-9.189385,2.1652868e-07,1.0,1.5154355,-4.656613e-10,-1.5154355,-1.7114279,-1.7114279,-1.7114283,1.2140026,9.189386,-4.1909516e-09,-9.189385,1.1131773e-07,1.0,1.6368442,1.3969839e-09,-1.6368442,-1.7143523,-1.7143526,-1.7143526,1.1861482,0.019541941690444948,6795.824144124985,260000
2.1800683,-0.38734472,13.783302,9.189386,4.656613e-09,-9.189385,1.8275503e-07,1.0,1.5696331,3.259629e-09,-1.5696331,-1.6670139,-1.6670141,-1.6670141,1.0836143,9.189386,0.0,-9.189385,1.8736351e-07,1.0,1.5910532,-1.071021e-08,-1.5910531,-1.669477,-1.6694772,-1.6694775,1.237948,0.018587833499908446,6888.763321876526,265000
0.9630758,-0.34244615,12.865623,9.189384,7.916242e-09,-9.189384,1.3969344e-08,1.0,1.4977956,1.071021e-08,-1.4977956,-1.6647735,-1.6647737,-1.6647737,1.1886288,9.189384,6.519258e-09,-9.189384,3.0097983e-08,1.0,1.6629615,2.7939677e-09,-1.6629615,-1.6645576,-1.6645577,-1.6645579,1.3295122,0.01954210991859436,6986.473885297775,270000
