training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
12.099675,0.21807718,-1.9148557,6.9675426,-4.649978,289.4531,0.04890994,-27.981667,-73.47212,0.31066293,10.105655,0.12140407,-2.1618013,0.03340621,-26.879896,-85.84061,0.16932815,0.00825323452949524,1063.892823457718,55000
8.918699,0.1472373,-1.9039259,3.7525005,-4.822755,203.69894,0.030063499,-30.185564,-76.40542,0.3557439,11.736948,0.189344,-1.989191,0.03598869,-29.244501,-73.1087,0.26279145,0.008258800792694091,1105.186836719513,60000
8.851326,0.109136865,-2.0430002,2.072396,-1.6708319,127.296844,0.004759848,-28.908644,-69.90759,0.25252712,8.6906595,0.10806756,-2.0635235,0.00014287978,-27.602848,-80.85759,0.22704053,0.008278638648986817,1146.5800428390503,65000
11.3621025,0.19857723,-2.0348108,5.060517,-5.7508264,235.12051,0.0054252855,-31.075317,-75.240616,0.17905724,8.50926,0.20093432,-1.803249,0.00978554,-28.070148,-69.543686,0.21649894,0.008260241413116456,1187.8812611103058,70000
10.019177,0.08456856,-2.156227,2.506682,-2.9433978,144.02988,0.023873135,-30.952654,-74.187775,0.21957712,8.412511,0.21896014,-1.8837932,0.014462989,-33.37068,-72.755066,0.22876057,0.008240675210952758,1229.0846464633942,75000
10.21862,0.13929543,-1.8931016,2.3950071,-2.3897362,126.25914,0.035376854,-30.426088,-74.8428,0.19798969,9.5296,0.23626682,-1.883481,0.054294564,-31.527761,-77.83376,0.24458145,0.008304438877105714,1270.6068587303162,80000
12.476969,0.26203668,-1.8885375,4.449536,-3.29121,224.23761,-0.018937193,-31.906492,-74.865456,0.27361625,9.335929,0.20526369,-1.8742532,-0.016846169,-28.487759,-73.52783,0.2105627,0.008321646451950073,1312.215102672577,85000
10.744545,0.21953484,-1.9042354,2.5292912,-2.9681852,150.08029,0.03024102,-31.899506,-84.29423,0.15983924,10.692725,0.18128008,-2.0272992,0.031623147,-27.74788,-71.964066,0.26258045,0.00825893898010254,1353.50980758667,90000
8.094002,0.1698425,-1.8740722,2.0021892,-2.326955,146.58939,0.024968565,-28.685892,-80.46705,0.2361516,8.821392,0.16134244,-2.0352829,0.028157242,-29.817478,-72.19309,0.21503314,0.008254933834075927,1394.7844908237457,95000
10.574359,0.23866792,-2.0027838,2.5485911,-2.7001789,168.54308,0.009249885,-27.786459,-73.91084,0.19715044,9.451399,0.15414889,-1.978313,0.0046168156,-30.194672,-71.376175,0.20485851,0.00822714500427246,1435.9202268123627,100000
8.373997,0.1065661,-1.9745153,2.0101578,-2.3730314,150.26495,-0.021857925,-32.367058,-80.215675,0.22109827,10.113468,0.09527139,-2.2172265,0.0055497177,-32.036255,-80.25438,0.30703372,0.11719738836288453,2021.9071791172028,105000
9.023615,0.11969283,-1.9143088,7.960934,-7.1229606,202.12901,0.010375936,-30.52821,-77.535034,0.21907291,7.4458733,0.068375885,-1.9629669,0.008410063,-27.006723,-72.39284,0.27664846,0.00825161476135254,2063.1652636528015,110000
7.321335,0.06628078,-2.192912,2.985376,-2.528301,127.546585,-0.026525568,-33.486057,-73.17638,0.29764172,9.225407,0.16453168,-2.016344,-0.019868635,-27.014874,-76.01254,0.32923353,0.008425358390808105,2105.2920746803284,115000
7.4369917,0.19067816,-1.812434,3.5039754,-4.051691,179.0158,0.007919133,-29.947727,-73.37326,0.21410398,6.2941546,0.12089281,-1.8641279,0.006753113,-31.955341,-75.80084,0.19530371,0.009024478101730347,2150.4144842624664,120000
11.966969,0.25523943,-1.7970908,1.9070439,-2.8477125,145.70369,-0.025879238,-31.186962,-70.88281,0.22056834,9.55553,0.042287715,-1.8978167,-0.027678184,-30.670523,-72.0012,0.27565163,0.008748758745193482,2194.1582901477814,125000
6.788558,0.12867348,-1.8645874,1.7131233,-3.0449588,117.22356,0.010514811,-29.316578,-75.063446,0.23239183,7.698263,0.10680881,-2.0246832,0.029392239,-29.235924,-69.96859,0.28857195,0.008350940752029419,2235.9130024909973,130000
6.0087404,0.16680296,-1.8604277,1.2594811,-2.390585,114.34888,0.028244715,-29.266102,-74.88675,0.21972886,7.9556293,0.11813334,-2.0712268,0.011208937,-30.527313,-74.00903,0.2559288,0.008264524888992309,2277.235634803772,135000
7.100464,0.19150037,-1.7642953,1.8763336,-2.3463578,145.05289,-0.013001207,-32.519257,-78.58267,0.25489032,9.345495,0.2727866,-1.8518589,-0.0005165823,-29.066837,-77.11946,0.20024732,0.00826232590675354,2318.5472741127014,140000
6.2773933,0.14446746,-1.7811103,1.1878932,-3.0291038,133.90396,0.0029464252,-30.3026,-76.40494,0.18497935,8.640989,0.24578676,-1.8037305,0.0018385276,-30.456888,-75.98252,0.22202565,0.008313152122497558,2360.113047838211,145000
6.4243255,0.09324433,-1.9288647,1.352473,-1.7503695,108.80485,-0.0017179325,-32.024178,-72.13255,0.23877601,8.910458,0.18755724,-1.8621252,0.0060853288,-30.451115,-72.90018,0.20248243,0.008301853561401368,2401.6223270893097,150000
7.4587345,0.19946566,-1.9315236,2.2020416,-2.8174236,140.0807,0.033692326,-30.357918,-74.94678,0.14327697,9.40576,0.18118116,-1.9045902,0.033284884,-30.200922,-77.880066,0.2168508,0.008290497589111328,2443.0748257637024,155000
6.4535203,0.17610274,-1.8381615,6.130888,-5.7512226,187.28194,0.03241285,-31.946129,-79.256805,0.19718716,9.882398,0.16267757,-1.8763651,0.034825705,-29.52731,-70.009056,0.22625162,0.008277396631240845,2484.4618220329285,160000
9.488168,0.22933313,-1.8995503,2.6826818,-2.3912685,140.18207,0.021841083,-30.458992,-75.12685,0.24430531,9.188649,0.20706367,-1.7349081,0.045166846,-31.304575,-73.72243,0.21192847,0.00825110306739807,2525.7173523902893,165000
8.215923,0.23932813,-1.9599143,2.0130935,-1.4593663,111.92697,-0.0022708476,-31.847912,-73.894196,0.16650389,10.821222,0.18523514,-1.9447175,0.011080198,-30.487556,-76.09857,0.16092847,0.008349984169006348,2567.4672849178314,170000
8.155418,0.1595273,-1.8037572,2.286407,-3.3704329,188.80353,-0.011407912,-33.42288,-77.34061,0.20951772,7.113866,0.13253988,-1.9425251,-0.014698148,-31.943253,-71.54393,0.21850371,0.00831956925392151,2609.0651409626007,175000
7.9041095,0.23365305,-1.7159905,1.7054965,-2.350819,162.4811,0.014690161,-32.778336,-75.930405,0.20173101,7.321422,0.17495894,-1.8782226,0.0023771003,-30.04266,-77.08197,0.16222589,0.00831137056350708,2650.6220030784607,180000
7.503043,0.20785497,-1.8199106,3.4655473,-5.2578573,211.57117,0.005510561,-27.987598,-72.17764,0.30511087,6.9363737,0.064207256,-2.021986,0.026553012,-30.849064,-71.18653,0.15888272,0.008364679670333863,2692.445412635803,185000
7.317875,0.10235879,-1.8424797,2.4918756,-4.0989037,145.15247,-0.017865114,-27.416315,-79.70439,0.18817571,7.3012953,0.17953655,-1.9111159,-0.011496991,-30.56611,-72.70087,0.17677632,0.008295278215408325,2733.921813249588,190000
