training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
8.190949,0.24330032,-1.850027,2.4318144,-2.4596498,131.48497,0.008757532,-28.597712,-67.13154,0.19875824,7.3468246,0.13974956,-1.9396544,0.003800217,-27.72995,-66.263306,0.17861968,0.007893387508392333,1125.4449174404144,90000
8.194126,0.15094891,-1.7553822,1.7640661,-2.5582423,118.93811,0.008399621,-26.972164,-71.327255,0.23357096,7.4550476,0.16687074,-1.93628,0.012217015,-29.167046,-70.234314,0.2812055,0.007895774602890015,1164.923800945282,95000
6.190691,0.14314255,-1.8319416,1.445369,-2.6998293,96.41716,-0.035613213,-27.397816,-71.21816,0.18308912,7.446512,0.13879281,-1.9443128,-0.0127452575,-30.542267,-70.864746,0.22472396,0.007890231943130493,1204.374971151352,100000
7.075636,0.1676791,-1.9206684,5.4208174,-4.311319,146.41457,0.029478304,-30.281506,-72.33952,0.16321856,7.2829194,0.14945588,-1.9033024,0.03250821,-29.442629,-72.66475,0.19616677,0.0772569266796112,1590.659615278244,105000
7.110874,0.18379465,-1.9160843,1.3343946,-2.0694723,128.19121,-0.015446138,-29.095592,-70.64572,0.16097918,6.0010624,0.13505514,-1.9016101,-0.008960068,-28.50037,-72.22539,0.13736324,0.007901085710525512,1630.1650562286377,110000
7.0353875,0.18046454,-1.7948644,1.5094976,-1.8088135,104.84633,0.018398028,-27.783543,-67.5553,0.20057356,7.057954,0.13673553,-2.0412016,0.011342328,-27.065517,-66.911125,0.15741669,0.007896740913391114,1669.648773431778,115000
7.670018,0.18552598,-1.8105152,2.9095047,-3.6302037,113.57385,-0.019032698,-28.69797,-75.151276,0.174259,8.04364,0.2140826,-1.9849629,-0.008003533,-30.239124,-71.25795,0.115665466,0.007892481374740601,1709.1111929416656,120000
8.476192,0.1795855,-1.8390173,4.863899,-4.689987,244.30298,0.012000568,-29.665379,-74.21181,0.26790708,8.537222,0.13791218,-1.8590951,0.03475102,-27.707083,-72.360275,0.21595629,0.007883711957931519,1748.5297636985779,125000
7.1405034,0.14232133,-1.724024,2.9147868,-1.9468377,142.22447,-0.06345767,-30.63156,-75.98388,0.16259103,5.9268193,0.16272199,-1.99348,-0.08622764,-27.920483,-75.05504,0.20470944,0.007883801984786987,1787.9487843513489,130000
6.65551,0.12092539,-2.0233512,2.5532365,-2.9493988,106.24754,0.019538306,-29.179226,-74.1646,0.10379989,6.5768633,0.10258887,-2.1099524,0.01869063,-29.587332,-75.12929,0.25224108,0.007886576795578002,1827.3816788196564,135000
