training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
22.007763,0.15069023,-1.7609525,192.15092,-135.11353,2108.6294,421.59302,421.74554,80.598175,2.4616284,0.032438375,2.375731,0.8445044,0.03689278,309.7686,5.44004,437.08145,431.64142,21.596241,0.20027494,-1.6914356,420.8078,528.665,82.020645,2.0916297,0.017571032,2.1924098,0.8659283,0.014722523,309.75235,10.04495,436.2954,426.25046,0.012437777709960938,3642.7010095119476,200000
21.940622,0.17249885,-1.8268291,905.2363,-609.1042,9961.505,418.0416,521.8287,85.47386,0.6172252,0.06012519,3.9209025,0.88442516,0.018707085,310.8929,-3.1478498,433.58624,436.7341,20.893906,0.3574733,-1.7244959,419.97333,508.88104,82.942566,1.2538924,0.016093442,1.890527,0.86502594,0.032574236,310.89795,10.541479,435.51822,424.97675,0.12570824856758117,4271.242260932922,205000
19.772882,0.14125755,-1.6267099,283.45532,-402.75616,5060.6655,417.37823,492.5405,85.574356,3.832282,0.021327872,1.9418842,0.8568369,0.016554229,314.0659,9.004937,433.08154,424.0766,21.979866,0.20639122,-1.7078431,422.38635,432.30283,79.91133,1.4845635,0.027652433,2.2758458,0.8670825,0.022874765,314.05527,7.018371,438.0891,431.07074,0.012424081087112427,4333.3626799583435,210000
22.528131,0.27140367,-1.6549748,222.49078,-234.47418,4205.237,419.94763,398.34225,82.30249,3.8022068,0.03582784,2.508264,0.905174,0.034928024,312.77658,4.4327197,435.58646,431.15375,23.728958,0.23910221,-1.7290423,419.23364,419.12982,83.02618,4.966677,0.03301011,2.3674946,0.9082651,0.020171296,312.76526,5.3138475,434.8719,429.55804,0.012421857023239136,4395.471984863281,215000
20.739061,0.08609761,-1.6837611,666.3451,-1055.7065,8230.831,417.79916,470.11774,85.242004,3.048842,0.0344635,2.717834,0.81819224,0.022845164,312.8934,4.861269,433.44385,428.58258,17.764374,0.30548078,-1.5999231,425.71173,469.4928,76.635254,2.6928215,0.034611486,3.0501008,0.83166313,0.03762963,312.89114,4.81493,441.3563,436.54135,0.012421862173080445,4457.581308603287,220000
17.40698,0.12061006,-1.6270812,584.44653,-391.30396,5612.402,415.94214,526.47943,87.575806,3.697207,0.017408941,2.1000006,0.8015385,0.028198168,313.44305,10.215442,431.61432,421.39886,18.311565,0.2807644,-1.5407366,422.14542,495.1035,80.27304,4.357258,0.042855658,3.5727162,0.88454956,0.039335925,313.44205,2.2393374,437.81754,435.5782,0.0124355393409729,4519.759025812149,225000
18.57103,0.10192311,-1.6893344,870.43427,-717.0528,10624.535,418.9126,534.24133,84.692795,1.4473369,0.121998645,5.226778,0.862455,0.02335281,312.62674,-22.5087,434.54395,457.05264,18.581863,0.21768734,-1.727211,428.98657,553.54987,73.71978,2.8929946,0.016901616,2.1322896,0.8291111,0.059525244,312.7217,10.350583,444.62265,434.27206,0.012436379957199097,4581.940945863724,230000
5.3982215,0.15764008,-1.5702327,249.11142,-247.90363,5290.109,453.4768,354.6528,47.931595,0.89940834,0.09592315,5.3878765,0.57521963,0.043768823,316.67227,-14.542587,469.31042,483.853,6.1735573,0.090775385,-1.6745734,446.11188,365.1121,55.469807,2.5733788,0.008651394,2.0867622,0.54190356,0.052065294,316.7023,13.095199,461.947,448.8518,0.012433431720733643,4644.108119487762,235000
17.652191,0.22122148,-1.7583368,179.06345,-273.74207,3928.245,421.9204,458.58243,80.70555,4.412446,0.04180701,3.6915166,0.8278215,0.0592302,314.03354,2.5728736,437.6221,435.04922,18.917303,0.2437184,-1.6919618,418.45673,443.3446,84.481865,0.8062665,0.017185697,2.1672328,0.8148737,0.023712184,314.01468,10.3041725,434.15747,423.8533,0.012433238506317138,4706.274324178696,240000
20.84959,0.12894921,-1.6209316,53.391296,-127.32731,2066.7107,418.75604,430.05823,83.875404,2.9930296,0.015716784,1.8637345,0.8314479,0.0582413,315.1627,10.8047905,434.51416,423.70938,22.970982,0.2586883,-1.6480523,407.5231,517.76514,96.06283,3.9333036,0.032586474,2.7428596,0.8874571,0.056012914,315.16464,5.4881277,423.28134,417.7932,0.012420695686340332,4768.377813577652,245000
